task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count
c_decompress,small,128,1601.978064000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_128mb_small_5.out,4986764,5235852,398.83973,561.084532,557.674577,1517.598839,12.503178000000000,9.388723000000001,,,,,,,,,,
c_decompress,small,256,864.1629220000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_256mb_small_1.out,4986764,5235852,197.790511,261.736447,333.094824,792.621782,25.212351999999999,15.718802999999999,,,,,,,,,,
c_decompress,small,256,859.1079710000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_256mb_small_2.out,4986764,5235852,180.911754,299.177452,314.92324,795.012446,27.56462100000000,16.6258040000000,,,,,,,,,,
c_decompress,small,256,880.3331850000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_256mb_small_3.out,4986764,5235852,182.018215,297.155446,336.414177,815.587838,27.39706000000000,15.563708000000000,,,,,,,,,,
c_decompress,small,256,872.4620340000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_256mb_small_4.out,4986764,5235852,200.241812,281.831322,325.829358,807.902492,24.903710000000000,16.069306999999998,,,,,,,,,,
c_decompress,small,256,896.4715000000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_256mb_small_5.out,4986764,5235852,201.211828,261.278367,363.100457,825.590652,24.783652000000000,14.419843999999999,,,,,,,,,,
c_decompress,small,512,509.90891500000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_512mb_small_0.out,4986764,5235852,123.786782,193.131736,145.61671,462.535228,40.28510900000000,35.95639500000000,,,,,,,,,,
c_decompress,small,512,444.6542260000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_512mb_small_1.out,4986764,5235852,90.835631,154.247221,150.637033,395.719885,54.8987650000000,34.758065999999999,,,,,,,,,,
c_decompress,small,512,440.61779999999999,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_512mb_small_3.out,4986764,5235852,104.433116,141.77262,146.099232,392.304968,47.75079200000000,35.837642000000002,,,,,,,,,,
c_decompress,small,512,487.36071600000002,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_512mb_small_4.out,4986764,5235852,107.341162,142.900608,188.532316,438.774086,46.45714600000000,27.771642000000000,,,,,,,,,,
c_decompress,small,512,514.0056610000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_512mb_small_5.out,4986764,5235852,104.648948,155.179803,209.100137,468.928888,47.65230900000000,25.039926000000,,,,,,,,,,
c_decompress,small,768,451.7524240000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_768mb_small_0.out,4986764,5235852,159.368436,118.037255,127.915239,405.32093,31.29078800000000,40.93219900000000,,,,,,,,,,
c_decompress,small,768,360.66484500000001,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_768mb_small_2.out,4986764,5235852,92.491589,90.697667,133.848078,317.037334,53.91586500000000,39.11787200000000,,,,,,,,,,
c_decompress,small,768,339.31803700000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_768mb_small_3.out,4986764,5235852,84.500413,96.18819,103.700577,284.38918,59.01467000000000,50.490094999999997,,,,,,,,,,
c_decompress,small,768,350.771427000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_768mb_small_4.out,4986764,5235852,98.339716,92.38125,111.987882,302.708848,50.70956300000000,46.753737000000001,,,,,,,,,,
c_decompress,small,768,341.9489860000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_768mb_small_5.out,4986764,5235852,89.921793,89.257021,115.936954,295.115768,55.45667900000000,45.16120000000000,,,,,,,,,,
c_decompress,small,1024,337.1455670000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1024mb_small_1.out,4986764,5235852,79.066424,69.182282,129.475018,277.723724,63.07056500000000,40.43909100000000,,,,,,,,,,
c_decompress,small,1024,321.3214870000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1024mb_small_2.out,4986764,5235852,93.310562,70.523495,112.791736,276.625793,53.44265300000000,46.420529000000002,,,,,,,,,,
c_decompress,small,1024,328.37581599999999,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1024mb_small_3.out,4986764,5235852,116.087195,65.18933,101.586992,282.863517,42.95705500000000,51.54057500000000,,,,,,,,,,
c_decompress,small,1024,280.8210850000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1024mb_small_4.out,4986764,5235852,78.968972,69.207998,85.179895,233.356865,63.14839700000000,61.46816700000000,,,,,,,,,,
c_decompress,small,1024,303.77864799999998,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1024mb_small_5.out,4986764,5235852,68.489387,65.242884,108.347187,242.079458,72.81075500000000,48.32476200000000,,,,,,,,,,
c_decompress,small,1536,322.17884099999998,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1536mb_small_1.out,4986764,5235852,96.978083,51.020818,116.038211,264.037112,51.4215570000000,45.12179200000000,,,,,,,,,,
c_decompress,small,1536,253.57317900000001,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1536mb_small_2.out,4986764,5235852,75.508436,45.464551,87.405646,208.378633,66.04247500000000,59.90290400000000,,,,,,,,,,
c_decompress,small,1536,254.8592090000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1536mb_small_3.out,4986764,5235852,70.999319,51.54215,88.693908,211.235377,70.23678600000000,59.03282600000000,,,,,,,,,,
c_decompress,small,1536,292.5069330000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1536mb_small_4.out,4986764,5235852,73.257448,46.020149,128.056868,247.334465,68.07176800000001,40.88692800000000,,,,,,,,,,
c_decompress,small,1536,260.2396010000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_1536mb_small_5.out,4986764,5235852,71.586289,44.870851,97.020164,213.477304,69.66088200000000,53.96663700000000,,,,,,,,,,
